code,uh_name,bh_esc,bh_month,bh_pc,bh_er,bh_rh,bh_qd
1394,Cuenca Tumbes,Observado,1,1.077.222.222,314.940.105,3.465.572.299,6.212.648.459
1394,Cuenca Tumbes,Observado,2,181.995.216,5.079.586.504,6.603.660.634,1.384.618.328
1394,Cuenca Tumbes,Observado,3,2.279.540.123,7.912.816.056,9.819.603.302,1.902.170.448
1394,Cuenca Tumbes,Observado,4,1.990.138.889,6.646.601.284,1.116.684.309,2.247.579.046
1394,Cuenca Tumbes,Observado,5,3.898.425.926,234.930.095,7.463.565.556,157.276.371
1394,Cuenca Tumbes,Observado,6,8.394.444.444,7.102.611.173,4.613.475.397,1.020.334
1394,Cuenca Tumbes,Observado,7,1.109.876.543,1.892.803.067,333.169.064,6.961.576.075
1394,Cuenca Tumbes,Observado,8,621.296.296,926.561.151,2.371.103.227,4.808.503.172
1394,Cuenca Tumbes,Observado,9,2.068.364.198,2.102.073.301,1.664.104.744,3.375.869.834
1394,Cuenca Tumbes,Observado,10,133.933.642,1.054.934.587,1.339.739.608,2.529.817.793
1394,Cuenca Tumbes,Observado,11,2.813.101.852,1.623.731.636,1.287.499.631,2.361.282.816
1394,Cuenca Tumbes,Observado,12,4.246.388.889,1.950.354.305,1.503.674.472,2.617.583.814
4964,Cuenca Tarau,Observado,1,2.389.074.074,5.821.696.759,1.140.749.074,9.664.176.344
4964,Cuenca Tarau,Observado,2,2.426.444.444,5.913.560.185,1.308.206.944,1.220.297.729
4964,Cuenca Tarau,Observado,3,2.029.726.852,9.277.057.604,137.210.463,1.180.767.204
4964,Cuenca Tarau,Observado,4,1.501.236.111,7.417.891.444,1.199.300.463,9.700.925.926
4964,Cuenca Tarau,Observado,5,3.838.101.852,2.886.617.765,8.814.805.556,6.530.874.194
4964,Cuenca Tarau,Observado,6,3.465.833.333,1.829.967.176,5.463.718.981,4.230.286.944
4964,Cuenca Tarau,Observado,7,1.483.611.111,1.390.287.546,3.872.883.796,3.067.035.932
4964,Cuenca Tarau,Observado,8,2.690.277.778,1.983.110.602,2.676.332.407,2.107.129.749
4964,Cuenca Tarau,Observado,9,4.787.638.889,3.312.900.694,2.087.059.259,1.750.810.278
